"AAPL","Apple Inc.",-0.94,566.6B,606.94
"XOM","Exxon Mobil Corpo",+0.11,401.4B,85.73
"ORCL","Oracle Corporatio",+0.725,149.6B,29.92
"MSFT","Microsoft Corpora",+0.65,254.6B,29.66
"INTC","Intel Corporation",+0.88,132.1B,25.38
"GOOG","Google Inc.",+5.9889,190.0B,576.73
"IBM","International Bus",+4.238,216.7B,183.65
"CHL","China Mobile Limi",-0.01,223.7B,55.73
"PTR","PetroChina Compan",-0.13,231.9B,124.52
